utility_name,timestamp,load
Utility 2,05/01/2023 01:00,10158.74
Utility 2,05/01/2023 02:00,9789.59
Utility 2,05/01/2023 03:00,9610.06
Utility 2,05/01/2023 04:00,9485.4
Utility 2,05/01/2023 05:00,9505.73
Utility 2,05/01/2023 06:00,10031.6
Utility 2,05/01/2023 07:00,11266.68
Utility 2,05/01/2023 08:00,12015.14
Utility 2,05/01/2023 09:00,11996.62
Utility 2,05/01/2023 10:00,11298.08
Utility 2,05/01/2023 11:00,10570.98
Utility 2,05/01/2023 12:00,10056.96
Utility 2,05/01/2023 13:00,9762.62
Utility 2,05/01/2023 14:00,10058.06
Utility 2,05/01/2023 15:00,10318.33
Utility 2,05/01/2023 16:00,10191.5
Utility 2,05/01/2023 17:00,10768.7
Utility 2,05/01/2023 18:00,11689.38
Utility 2,05/01/2023 19:00,12423.35
Utility 2,05/01/2023 20:00,12815.15
Utility 2,05/01/2023 21:00,12852.48
Utility 2,05/01/2023 22:00,12117.29
Utility 2,05/01/2023 23:00,11105.0
Utility 2,05/02/2023 00:00,10174.85
Utility 2,05/02/2023 01:00,10173.3
Utility 2,05/02/2023 02:00,9889.37
Utility 2,05/02/2023 03:00,9928.63
Utility 2,05/02/2023 04:00,9981.39
Utility 2,05/02/2023 05:00,10067.01
Utility 2,05/02/2023 06:00,10704.87
Utility 2,05/02/2023 07:00,11404.31
Utility 2,05/02/2023 08:00,11949.94
Utility 2,05/02/2023 09:00,11570.33
Utility 2,05/02/2023 10:00,11521.83
Utility 2,05/02/2023 11:00,11333.34
Utility 2,05/02/2023 12:00,11531.54
Utility 2,05/02/2023 13:00,11538.1
Utility 2,05/02/2023 14:00,11360.17
Utility 2,05/02/2023 15:00,10795.93
Utility 2,05/02/2023 16:00,10879.76
Utility 2,05/02/2023 17:00,11495.57
Utility 2,05/02/2023 18:00,12314.99
Utility 2,05/02/2023 19:00,12805.34
Utility 2,05/02/2023 20:00,13140.18
Utility 2,05/02/2023 21:00,13119.12
Utility 2,05/02/2023 22:00,12369.97
Utility 2,05/02/2023 23:00,11340.84
Utility 2,05/03/2023 00:00,10486.62
Utility 2,05/03/2023 01:00,10413.43
Utility 2,05/03/2023 02:00,10091.42
Utility 2,05/03/2023 03:00,9925.56
Utility 2,05/03/2023 04:00,9910.11
Utility 2,05/03/2023 05:00,10168.56
Utility 2,05/03/2023 06:00,10372.54
Utility 2,05/03/2023 07:00,11498.8
Utility 2,05/03/2023 08:00,11861.61
Utility 2,05/03/2023 09:00,11365.34
Utility 2,05/03/2023 10:00,10931.2
Utility 2,05/03/2023 11:00,11155.89
Utility 2,05/03/2023 12:00,11133.65
Utility 2,05/03/2023 13:00,11225.52
Utility 2,05/03/2023 14:00,11279.28
Utility 2,05/03/2023 15:00,11165.72
Utility 2,05/03/2023 16:00,11166.79
Utility 2,05/03/2023 17:00,11608.66
Utility 2,05/03/2023 18:00,12431.22
Utility 2,05/03/2023 19:00,12992.36
Utility 2,05/03/2023 20:00,13269.76
Utility 2,05/03/2023 21:00,13138.52
Utility 2,05/03/2023 22:00,12384.98
Utility 2,05/03/2023 23:00,11336.57
Utility 2,05/04/2023 00:00,10410.08
Utility 2,05/04/2023 01:00,10133.31
Utility 2,05/04/2023 02:00,10091.99
