utility_name,timestamp,load
Utility 3,05/01/2024 01:00,10253.99
Utility 3,05/01/2024 02:00,9945.06
Utility 3,05/01/2024 03:00,9735.6
Utility 3,05/01/2024 04:00,9679.14
Utility 3,05/01/2024 05:00,9907.17
Utility 3,05/01/2024 06:00,10277.64
Utility 3,05/01/2024 07:00,11368.54
Utility 3,05/01/2024 08:00,12114.19
Utility 3,05/01/2024 09:00,12052.66
Utility 3,05/01/2024 10:00,11722.71
Utility 3,05/01/2024 11:00,11129.81
Utility 3,05/01/2024 12:00,10694.64
Utility 3,05/01/2024 13:00,10630.58
Utility 3,05/01/2024 14:00,10497.45
Utility 3,05/01/2024 15:00,10590.34
Utility 3,05/01/2024 16:00,10644.43
Utility 3,05/01/2024 17:00,10906.24
Utility 3,05/01/2024 18:00,11612.11
Utility 3,05/01/2024 19:00,12397.17
Utility 3,05/01/2024 20:00,12939.21
Utility 3,05/01/2024 21:00,13048.61
Utility 3,05/01/2024 22:00,12356.03
Utility 3,05/01/2024 23:00,11329.46
Utility 3,05/02/2024 00:00,10601.51
Utility 3,05/02/2024 01:00,10290.17
Utility 3,05/02/2024 02:00,10168.73
Utility 3,05/02/2024 03:00,10034.3
Utility 3,05/02/2024 04:00,10243.47
Utility 3,05/02/2024 05:00,10412.94
Utility 3,05/02/2024 06:00,10413.77
Utility 3,05/02/2024 07:00,11261.79
Utility 3,05/02/2024 08:00,11835.66
Utility 3,05/02/2024 09:00,11662.23
Utility 3,05/02/2024 10:00,11314.45
Utility 3,05/02/2024 11:00,10705.13
Utility 3,05/02/2024 12:00,10260.96
Utility 3,05/02/2024 13:00,9770.53
Utility 3,05/02/2024 14:00,9613.32
Utility 3,05/02/2024 15:00,9661.82
Utility 3,05/02/2024 16:00,10099.13
Utility 3,05/02/2024 17:00,10847.63
Utility 3,05/02/2024 18:00,11916.09
Utility 3,05/02/2024 19:00,12682.75
Utility 3,05/02/2024 20:00,13032.71
Utility 3,05/02/2024 21:00,13011.24
Utility 3,05/02/2024 22:00,12300.24
Utility 3,05/02/2024 23:00,11247.1
Utility 3,05/03/2024 00:00,10319.81
Utility 3,05/03/2024 01:00,9946.17
Utility 3,05/03/2024 02:00,10028.39
Utility 3,05/03/2024 03:00,9931.47
Utility 3,05/03/2024 04:00,9886.95
Utility 3,05/03/2024 05:00,10110.11
Utility 3,05/03/2024 06:00,10296.37
Utility 3,05/03/2024 07:00,10989.04
Utility 3,05/03/2024 08:00,11591.11
Utility 3,05/03/2024 09:00,11586.88
Utility 3,05/03/2024 10:00,11160.76
Utility 3,05/03/2024 11:00,10632.42
Utility 3,05/03/2024 12:00,10135.6
Utility 3,05/03/2024 13:00,9543.52
Utility 3,05/03/2024 14:00,9077.08
Utility 3,05/03/2024 15:00,8786.76
Utility 3,05/03/2024 16:00,8896.52
Utility 3,05/03/2024 17:00,9551.12
Utility 3,05/03/2024 18:00,10715.29
Utility 3,05/03/2024 19:00,11740.12
Utility 3,05/03/2024 20:00,12277.29
Utility 3,05/03/2024 21:00,12452.89
Utility 3,05/03/2024 22:00,11910.9
Utility 3,05/03/2024 23:00,11066.27
Utility 3,05/04/2024 00:00,10192.4
Utility 3,05/04/2024 01:00,9629.27
Utility 3,05/04/2024 02:00,9546.66
Utility 3,05/04/2024 03:00,9538.94
Utility 3,05/04/2024 04:00,9454.65
Utility 3,05/04/2024 05:00,9543.78
Utility 3,05/04/2024 06:00,9618.92
Utility 3,05/04/2024 07:00,9741.72
Utility 3,05/04/2024 08:00,9248.17
Utility 3,05/04/2024 09:00,8917.7
Utility 3,05/04/2024 10:00,8476.29
Utility 3,05/04/2024 11:00,8363.38
Utility 3,05/04/2024 12:00,8138.98
Utility 3,05/04/2024 13:00,8064.54
Utility 3,05/04/2024 14:00,8260.82
Utility 3,05/04/2024 15:00,8617.5
Utility 3,05/04/2024 16:00,8953.11
Utility 3,05/04/2024 17:00,9595.17
Utility 3,05/04/2024 18:00,10331.46
Utility 3,05/04/2024 19:00,11137.84
Utility 3,05/04/2024 20:00,11654.4
Utility 3,05/04/2024 21:00,11891.56
Utility 3,05/04/2024 22:00,11456.82
Utility 3,05/04/2024 23:00,10817.36
Utility 3,05/05/2024 00:00,10447.3
Utility 3,05/05/2024 01:00,9972.27
Utility 3,05/05/2024 02:00,9774.11
Utility 3,05/05/2024 03:00,9398.35
Utility 3,05/05/2024 04:00,9307.49
Utility 3,05/05/2024 05:00,9220.59
Utility 3,05/05/2024 06:00,9220.36
Utility 3,05/05/2024 07:00,9464.6
Utility 3,05/05/2024 08:00,9856.69
Utility 3,05/05/2024 09:00,10185.11
Utility 3,05/05/2024 10:00,10486.03
Utility 3,05/05/2024 11:00,10690.72
Utility 3,05/05/2024 12:00,10817.61
Utility 3,05/05/2024 13:00,10966.06
Utility 3,05/05/2024 14:00,11107.68
Utility 3,05/05/2024 15:00,11234.06
Utility 3,05/05/2024 16:00,11601.93
Utility 3,05/05/2024 17:00,12133.83
Utility 3,05/05/2024 18:00,12697.1
Utility 3,05/05/2024 19:00,12947.98
Utility 3,05/05/2024 20:00,12982.62
Utility 3,05/05/2024 21:00,12769.04
Utility 3,05/05/2024 22:00,11990.4
Utility 3,05/05/2024 23:00,11037.24
Utility 3,05/06/2024 00:00,10148.38
Utility 3,05/06/2024 01:00,9906.03
Utility 3,05/06/2024 02:00,9902.06
Utility 3,05/06/2024 03:00,10065.1
Utility 3,05/06/2024 04:00,10171.34
Utility 3,05/06/2024 05:00,10278.68
Utility 3,05/06/2024 06:00,10272.01
Utility 3,05/06/2024 07:00,11252.57
Utility 3,05/06/2024 08:00,11788.69
Utility 3,05/06/2024 09:00,11572.13
Utility 3,05/06/2024 10:00,11029.96
Utility 3,05/06/2024 11:00,10337.54
Utility 3,05/06/2024 12:00,9843.26
Utility 3,05/06/2024 13:00,9607.22
Utility 3,05/06/2024 14:00,9683.95
Utility 3,05/06/2024 15:00,9907.6
Utility 3,05/06/2024 16:00,10272.93
Utility 3,05/06/2024 17:00,11009.9
Utility 3,05/06/2024 18:00,12178.98
